nombre,indipais,telefono,nro_factura,fecha_vencimiento,monto_factura,saldo_vencido
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
Alejandro Sossa, 57, 300493312, 111, 2012-01-02, 1399, 23232
